"Timestamp","Your name?","On average, how often do you shop at large-scale supermarkets or shopping malls? ","During a typical trip to an unfamiliar large store, how often do you struggle to find at least one item on your list?  ","If you cannot find an item, how much extra time do you typically spend searching before giving up or asking for help?  ","  When you can’t find a product, what is your first course of action?  ","If you have asked a staff member for help in the past, have you encountered any of the following? (Select all that apply)  ","Why do you find overhead store signage (e.g., ""Baking,"" ""Canned Goods"") insufficient?  ","How useful would you find the following features in a store navigation app?  ","Anything else you would like to add? (Optional)"
"2025/12/17 4:58:32 PM GMT","","Weekly","Frequently","5-10 mins","Look for overhead signs","Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 4:59:23 PM GMT","","Monthly","Occasionally","10+ mins","Search nearby aisles","Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:00:25 PM GMT","","Rarely","Always","2-5 mins","Search nearby aisles","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:00:54 PM GMT","","Weekly","Frequently","5-10 mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:01:16 PM GMT","","Bi-weekly","Frequently","2-5 mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:01:51 PM GMT","","Monthly","Occasionally","5-10 mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:02:11 PM GMT","","Bi-weekly","Occasionally","2-5 mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Hard to see from a distance","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:02:35 PM GMT","","Rarely","Never","10+ mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:03:00 PM GMT","","Monthly","Occasionally","10+ mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:03:22 PM GMT","","Bi-weekly","Frequently","5-10 mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:03:50 PM GMT","","Weekly","Frequently","5-10 mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Hard to see from a distance","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:04:31 PM GMT","","Bi-weekly","Occasionally","5-10 mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 5:04:50 PM GMT","","Monthly","Frequently","10+ mins","Look for overhead signs","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 6:37:22 PM GMT","","Monthly","Frequently","5-10 mins","Look for a store map/kiosk","Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Too many signs to process","Search bar for specific product names (e.g., ""Baking Soda"").;Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).",""
"2025/12/17 6:37:46 PM GMT","","Monthly","Occasionally","10+ mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;Staff member did not know the exact location","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 6:38:06 PM GMT","","Weekly","Always","10+ mins","Look for a store map/kiosk","Staff member was busy with another customer;Staff member did not know the exact location","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 6:38:30 PM GMT","","Monthly","Occasionally","<2 mins","Search nearby aisles","Staff member did not know the exact location;I felt awkward/uncomfortable asking","Hard to see from a distance","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.",""
"2025/12/17 6:38:53 PM GMT","","Bi-weekly","Frequently","2-5 mins","Look for a store map/kiosk","Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Hard to see from a distance","Search bar for specific product names (e.g., ""Baking Soda"").;Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.",""
"2025/12/17 6:39:11 PM GMT","","Monthly","Frequently","2-5 mins","Look for a store map/kiosk","Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Too many signs to process","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).",""
"2025/12/17 6:40:13 PM GMT","","Bi-weekly","Frequently","10+ mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Search bar for specific product names (e.g., ""Baking Soda"").;Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.","An arrow sign directing would be far better. "
"2025/12/17 6:40:33 PM GMT","","Monthly","Occasionally","10+ mins","Look for overhead signs","Staff member was busy with another customer;I felt awkward/uncomfortable asking","Hard to see from a distance","Search bar for specific product names (e.g., ""Baking Soda"").;Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.",""
"2025/12/17 6:40:58 PM GMT","","Weekly","Frequently","2-5 mins","Look for overhead signs","Staff member was busy with another customer;Staff member did not know the exact location;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.",""
"2025/12/17 6:41:52 PM GMT","","Monthly","Occasionally","2-5 mins","Look for a store map/kiosk","Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.","Staff might be busy with their task"
"2025/12/17 9:18:33 PM GMT","Aslam","Monthly","Occasionally","10+ mins","Look for a store map/kiosk","Could not find a staff member;Staff member was busy with another customer;I felt awkward/uncomfortable asking","Too vague (doesn't list specific items)","Visual ""shortest path"" route from your current location.;Multi-floor navigation (e.g., switching between Floor 1 and Floor 2).;The ability to upload a full shopping list and get an optimised route.;Estimated walking time to the product.","n/a"
